name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
AMC Ambassador Brougham,13,8,360,175,3821,11,73
AMC Ambassador DPL,15,8,390,190,3850,8.5,70
AMC Ambassador SST,17,8,304,150,3672,11.5,72
AMC Concord DL 6,20.2,6,232,90,3265,18.2,79
AMC Concord DL,18.1,6,258,120,3410,15.1,78
AMC Concord DL,23,4,151,,3035,20.5,82
AMC Concord,19.4,6,232,90,3210,17.2,78
AMC Concord,24.3,4,151,90,3003,20.1,80
AMC Gremlin,18,6,232,100,2789,15,73
AMC Gremlin,19,6,232,100,2634,13,71
AMC Gremlin,20,6,232,100,2914,16,75
AMC Gremlin,21,6,199,90,2648,15,70
AMC Hornet Sportabout (Wagon),18,6,258,110,2962,13.5,71
AMC Hornet,18,6,199,97,2774,15.5,70
AMC Hornet,18,6,232,100,2945,16,73
AMC Hornet,19,6,232,100,2901,16,74
AMC Hornet,22.5,6,232,90,3085,17.6,76
AMC Matador (Wagon),14,8,304,150,4257,15.5,74
AMC Matador (Wagon),15,8,304,150,3892,12.5,72
AMC Matador,14,8,304,150,3672,11.5,73
